Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14008_001
"060371927002","15000US060371927002","Block Group 2","Block Group 2, Census Tract 1927, Los Angeles County, California","ca","150","00","ACSSF","0015397",,,,,"06","037",,,,"192700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34528.3870967742
"060371941011","15000US060371941011","Block Group 1","Block Group 1, Census Tract 1941.01, Los Angeles County, California","ca","150","00","ACSSF","0015398",,,,,"06","037",,,,"194101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166401.655426119
"060371941021","15000US060371941021","Block Group 1","Block Group 1, Census Tract 1941.02, Los Angeles County, California","ca","150","00","ACSSF","0015399",,,,,"06","037",,,,"194102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189628.483606557
"060371941022","15000US060371941022","Block Group 2","Block Group 2, Census Tract 1941.02, Los Angeles County, California","ca","150","00","ACSSF","0015400",,,,,"06","037",,,,"194102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188128.419452888
"060371941023","15000US060371941023","Block Group 3","Block Group 3, Census Tract 1941.02, Los Angeles County, California","ca","150","00","ACSSF","0015401",,,,,"06","037",,,,"194102","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192603.636363636
"060371942001","15000US060371942001","Block Group 1","Block Group 1, Census Tract 1942, Los Angeles County, California","ca","150","00","ACSSF","0015402",,,,,"06","037",,,,"194200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226018.58216971
"060371942002","15000US060371942002","Block Group 2","Block Group 2, Census Tract 1942, Los Angeles County, California","ca","150","00","ACSSF","0015403",,,,,"06","037",,,,"194200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338137.218045113
"060371943001","15000US060371943001","Block Group 1","Block Group 1, Census Tract 1943, Los Angeles County, California","ca","150","00","ACSSF","0015404",,,,,"06","037",,,,"194300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399847.587719298
"060371943002","15000US060371943002","Block Group 2","Block Group 2, Census Tract 1943, Los Angeles County, California","ca","150","00","ACSSF","0015405",,,,,"06","037",,,,"194300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383814.254859611
"060371943003","15000US060371943003","Block Group 3","Block Group 3, Census Tract 1943, Los Angeles County, California","ca","150","00","ACSSF","0015406",,,,,"06","037",,,,"194300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250079.323308271
